Job,Business Area,Area of Expertise,Looking,Skills
Cloud Security Engineer,COO & Functions,Operations,"Experience with security tooling design and build across endpoint, cloud, mail and network monitoring
Knowledge of open source and commercial security tooling and integrations
Excellent knowledge of public cloud security architecture&nbsp
&nbsp","Experience of Microsoft M365 security
Knowledge of Azure Cloud Engineering and Security
Experience of AWS Cloud Engineering and Security
Knowledge of CI/CD deployment and Infrastructure as Code"
Network Engineer,COO & Functions,Technology,":11pt'><span style='font-family:Calibri,sans-serif'>Infrastructure Engineering</span>",":11pt'><span style='font-family:Calibri,sans-serif'>Infrastructure Engineering</span>"
Cybersecurity Architect,COO & Functions,Technology,"Exposure to Cyber vulnerability and threat Assessment
Experience with Access control and authentication
PKI, Secrets and certifications
Exposure to Encryption","s and Firewalls
Experience with Packet inspection
kubernetes and docker
Experience with Automation - Ansible/Jenkins"
Compliance Assurance,COO & Functions,Compliance,"Background in Auditing / Assurance is required
Experience in Financial Services, preferably in one of the following areas: Financial Crime, Compliance, or Legal
A good understanding of governance, risk and control assessment techniques
You will have the ability to present information clearly and in a manner that is appropriate and tailored for the targeted audience</span>","Demonstrates professional scepticism and an attention to detail for the identification of control issues and/or non-compliance to policy
Excellent interpersonal skills. Confident and positive individual able to communicate with clarity, purpose and adapt communication style, as necessary
An understanding of the regulatory environment that affects Barclays globally with awareness of financial crime expectations
, and generate new concepts / ideas to drive out improvements</span>"
M365 Product Manager,COO & Functions,Technology,"A solid understanding of the Microsoft 365 Services inc Teams, Exchange, SharePoint online etc
Experience in operating, managing, or supporting and enterprise class M365 service for customers, clients or colleagues
Experience of migration from legacy technologies and promoting the adoption of new
An understanding of the Microsoft 365 Commercial and licensing model","Practical knowledge of customer experience methodologies
Proven ability to influence senior stakeholders though persuasive, reasoned, and factual behaviors
Able to inspire people to deliver within a matrix organization
Strategic writing and presentation skills"
Domain Architect,COO & Functions,Technology,"MAM, SCCM /MEM / InTune / JAMF) and End User Devices OS (MS Windows 10/11 and Apple OSX)
Productivity applications (MS Office / Office M365 / MS Edge Browser)
Cloud based virtualisation with Microsoft AVD, AWS Workspaces
Software Packaging and Personalisation (AppSense/Ivanti / MSI / APPV/ MSI) and SASE Networking products (Citrix, Zscaler ZCC)</span>","A development language and/or scripting technology (such as Powershell, Java Script, Chef)
Experience of architecting, designing and engineering solutions at enterprise scale or large business scale
Broad technical experience across multiple areas such as infrastructure, applications, networks, development
Where no relevant experience of direct skills, a demonstrable ability to learn and or cross train into these focus areas based on prior employment</span>"
Test Automation Engineer,COO & Functions,Technology,"Knowledge of any Automation tool (ATF preferred)
testing various modules within ServiceNow (e.g. Change, Incident, Knowledge, Problem, CMDB, Integrations) Keep Management updated of progression&nbsp
s&nbsp
Proficiencyof workflows in various ITSM modules (Incident, Change, Problem, Service Catalogue, IT Asset Management, CMDB)</span>","Experience of ATF (Automated Test Framework) or any automation tool
Written and verbal communication skills
Ability to evaluate constraints, risks and dependencies.
Analytical mind and problem-solving aptitude
Competent in able to undergo Test Case Design, Test Planning and Test Strategies"
Controls and Regulatory Engagement,COO & Functions,Technology,"s degree required in Technology or Technology related subject
Extensive financial services experience preferably within technology environments and with management of Audit/ risk/ governance/compliance
Experience in project/ portfolio management, operations or strategy and the products and services, offered by complex financial institutions preferably US regulated entities
Experience in Project or program delivery in a multi-function/business space in a matrixed environment experience with basic understanding of both the regulatory frameworks","Experience working on technology, operations and regulatory projects with knowledge and adherence to program and change management processes and methodology
Solid stakeholder management and influencing skills
Ability to analyze a problem and identify potential solutions by exploring and analyzing diverse alternatives, including, where applicable, risks and potential business impact
Consistently demonstrates integrity, fairness and professional conduct"
UK & International Cards Manager,COO & Functions,Technology,"Analytical and strategic thinker with ability to resolve complex problems
Proven relationship management of internal and external stakeholders across seniority levels
Good people leader, to act as a senior member of the GPN team
Good knowledge of the evolving payment scheme landscape, outside of just the traditional payment networks","Excellent verbal and written communication skills
Excellent Excel and PowerPoint skills
such as Fin-Tech providers
Ability to drive Business Development opportunities"
Risk and Control PMO,COO & Functions,Technology,"Excellent working knowledge of MS Office including Excellent PowerPoint and Excel skills, in order to e.g. extract, manipulate and report programme / project data sets
Solid stakeholder management and communication skills across multiple business units and roles
Solid analytical and literacy ability
Knowledge of project governance requirements","Awareness and a working knowledge of Barclays Change Frameworks, standards and policies (CDCS)
Experience working in a global team
Experience working in the technology industry&nbsp
Experience of managing small projects, or exposure to the end to end project lifecycle"
Senior Equities Quant,COO & Functions,Risk and Quantitative Analytics,"s Degree or higher in Applied Mathematics
Solid experience in equities specific modelling and / or FRTB
Proven ability with C++ / Python
Track record of deliveries required within a Senior Management position","Strong analytical and numerical skills
Good written and verbal communication in English
Ability to work independently or within a team environment
Experience with cross-platform development (Windows / Linux)"
VP Liquidity Risk Oversight,COO & Functions,Risk and Quantitative Analytics,"Excellent communication skills and stakeholder management
Quantitative nature
Judgement making and problem solving skills&nbsp","Previous work experience and knowledge on various Treasury functions: balance sheet management, funding and liquidity, capital management
Business acumen with working knowledge of Secured Financing, Prime Brokerage and Derivatives&nbsp
Previous work experience on stress testing, limits setting and management"
Fraud Risk Senior Analyst,COO & Functions,Operations,"experience in fraud management or other operational area
Proficient analytical skills, technical skills in SAS/ SQL (or similar) with proven ability to process vast amounts of data into meaningful information","Experience on identity/ account take over, first party/ credit abuse fraud
Excellent communication and interpersonal skills
Analysis using SAS or SQL"
Counterparty Risk - AVP,COO & Functions,Risk and Quantitative Analytics,"s degree in a Quantitative subject e.g. Mathematics, Finance, Economics&nbsp
Two plus years of experience in Credit risk business and technical analysis&nbsp
Two plus years of experience in financial services industries
Two plus years of thorough IT system/ Reporting experience&nbsp","Ability to work together as part of an effective team&nbsp
Confident communications skills, and the ability to work with multiple stakeholders
Solid attention to detail"
AVP API & Digital Product Manager,Barclays International,"Marketing, Communications & Corporate Relations","Four-year college degree
Five years of experience in product management
Experience in driving elements of the product development lifecycle
Excellent communication and presentation skills","Experience leading digital strategic efforts and incorporating user research into product designs cross-functionally in a financial services context
Ability to be comfortable in an enterprise-scale and highly data-driven environment, where you engage with quantitative stakeholders
Excellent communication and collaboration skills with the ability to simplify and communicate complex concepts clearly and persuasively across different audiences&nbsp
Experience promoting an API-first approach"
Senior Data Engineer,COO & Functions,Technology,"s degree, preferable in Computer systems
Significant years Oracle, Hadoop, ETL Tools (AB Initio, DataStage), Scheduling tools (TWS), AWS
Exceptional change Pipeline mobilisation / initiation / planning experience in addition to management of established delivery initiatives
Must be able to demonstrate extensive stakeholder management, communication and presentation skills, with strong and influential personal credibility
experience working on AWS&nbsp","Exceptional analytical skills including ability to provide observations and comment with an understanding of IT change management process.
Exposure to infrastructure architecture, cloud (AWS etc), and Spring framework and web technologies like Javascript and related frameworks
Experience in building CI/CD pipelines using Jenkins or any other.&nbsp
Excellent working experience in Ab Initio or equivalent ETL tool for big data processing.&nbsp"
AVP Financing Compliance,COO & Functions,Compliance,"Exceptional communication skills
Detail-oriented
Ability to maintain and update policies and procedures
Ability to maintain balance between internal policies and procedures and commercial aspects of the business","Experience in Prime Brokerage&nbsp
Experience in Equity and advisory
Experience in stock loans"
Senior Regulatory Reporting Developer VP,COO & Functions,Technology,"Degree in Computer Science, Engineering, or other analytical field
experience at working within Risk, Finance or Treasury within an Investment Bank with good knowledge of Credit, Macro and Equity Investment Banking Products&nbsp
Very knowledgeable about either Product Control/Product Accounting and/or Market Risk Processes and methodology and/or end-of-day Risk processes
knowledge of Capital regimes such as the various Basel phases.","Experience of business analysis/ data analysis related to Basel capital framework (e.g. RWA, CVA, FRTB etc.)
Experience of best practice project management methodologies and tools, combined with the ability to influence the business, operations, functions to adhere to best practice.&nbsp
Architecture acumen focusing on micro services implementation
Ability to work with global team of developer and communicate / collaborate effectively"
Data Privacy Legal Attorney AVP,COO & Functions,Legal,"Admitted to practice law in NY or NJ, with at least three years of experience focused on providing data privacy legal advice in a law firm or in-house legal setting
Excellent technical knowledge of U.S. data privacy laws, including but not limited to GLBA and CCPA
Excellent technical knowledge of data privacy issues relating to employee privacy and monitoring
Excellent drafting and negotiation skills","&nbsp
Canada, Mexico, Brazil"
US Head of Markets KYC Onboarding,COO & Functions,Operations,"Previous experience of AML/ KYC gained within Investment or Corporate banking&nbsp
Experience of reviewing complex structures, PEPs and/ or Sanctions screening
B, LexisNexis, World Check, and others
Experience with managing Operational teams focused on KYC, Onboarding, or similar function","Ideally qualified to Degree standard, preferably in a business/ law related subject
AML/ Compliance Certification
Cert ICM&nbsp
Knowledge of High risk indicators and revision of complex structures and entity types"
Cloud/Elastic Developer,COO & Functions,Technology,"Experience with evaluating existing Elastic clusters, configuration parameters, indexing, search and query performance tuning, security and administration
Experience in developing in multiple languages (Python/Java, Bash, Painless, or other scripting languages)
Experience with the full ELK Stack - Elasticsearch, Logstash, Kibana, Beat agents, Machine Learning, APM, X-Pack and REST API integration
Knowledge of Data, building data pipelines","Java knowledge and experience
AWS knowledge and experience
Messaging like Kafka"
Connectivity Operations Engineer L3,COO & Functions,Technology,"Experience of Network Operational Support within a large institution or Bank
Proven ability to diagnose and resolve complex network related issues
Solid understanding and experience of F5 load-balancing platforms, including integration with external services
Good working knowledge of DNS / DHCP using Infoblox products and Proxy related products&nbsp","Knowledge of TCP, SSL and be able to fault find using tcpdump, Wireshark, log trace and live debug
Expert knowledge of Load Balancing platforms - F5 or AVI / VMWare
Working knowledge of scripting language (Python, Ansible)
WAN technologies / (Cisco ACI, NX-OS, SD-WAN, BGP, OSPF)"
Senior Unix Administrator,COO & Functions,Technology,"Expert level of knowledge supporting RHEL, AIX and Solaris server operating systems
Experience of supporting enterprise scale, complex and secure server estates
Excellent verbal and written communication skills to be able to work in a globally distributed team of both colleagues and business stakeholders","Knowledge of Chef, Powerbroker, CyberArk and Veritas InfoScale products
ITIL certification
Knowledge of cloud computing (AWS)"
IAM DataServices Lead,COO & Functions,Operations,"Experience in providing Mentorship and feedback to team members to help them perform better and realize their career goals
Experience with geographically distributed teams to effectively leverage the benefits offered by staff working in different time zone
Experience managing and supporting a live deployment of Identity Management Solution
Problem solving and analytical skills","Security framework certification
SQL skills
Documentation and reporting skills
Extensive troubleshooting and risk highlighting skills"
Messaging Engineer,COO & Functions,Technology,"UNIX and Linux familiarity with some Shell scripting skills and basic administrative skills
Knowledge of automation technologies i.e., CHEF
Good understanding of a range of infrastructure principles and offerings i.e., Cloud
Proven experience in working within a technology environment","Knowledge/Administration skills for MQ, Kafka and AMQ
Experience in any development language
Knowledge of IIB/ACE development, Toolkit, ESQL Coding
Any cloud or container-based qualifications or experience, or has shown a real passion for the technology"
Corporate Operations Manager,COO & Functions,Operations,"Excellent written and oral communication skills
Excellent interpersonal skills
Excellent personal organisation and planning with the ability to work under pressure and to meet tight deadlines
Ability to work under pressure and to meet tight deadlines
Self-motivated, with ability to use own initiative","Working knowledge of Word, Excel, Power Point, Access and Outlook
Good working knowledge of banking processes and procedures
Proven operational experience and proven technical understanding&nbsp
High level of accuracy and attention to detail with strong numerical ability
Team leader and staff management experience.&nbsp"
BISO Ireland,COO & Functions,Operations,"Working experience within the information and cyber security field, including systems audit, internal controls and/ or security consulting
Significant experience at implementing or managing risk management processes and tools
Ability to understand, mitigate or reduce risks, drawing on technical experience, risk assessment, and management reports
Experience in leading and managing multiple stakeholders within a complex matrix environment across multiple geographies","Significant professional experience and / or qualification preferred
Experience in relevant information risk and control frameworks including NIST, ISO27001&nbsp
Information security accreditation such as CISSP, CISA
Understanding of relevant regulatory environment within European Union and wider EMEA region"
Application Support Analyst,COO & Functions,Technology,"Degree in information system or computer science or any equivalent
Knowledge of software programs in any of the technologies like Java, C#, SQL, Python.
Solid experience in working with structured and/or unstructured databases like Oracle, MSSQL
Solid experience in scripting technologies like Shell, Perl, Java Script, PHP, etc","Knowledge of or working experience in cloud technologies.
Familiar with big data platforms like Hadoop, ETL tools like Informatica etc
clear understanding of trade lifecycle and Market data
Knowledge of Risk management function will be preferred"
VP - Credit Desk Quantitative Analyst,COO & Functions,Risk and Quantitative Analytics,"s Degree or PhD in Statistics, Econometrics, Computer Science, Financial Engineering or another technical discipline (Physics, Engineering, Maths)&nbsp
Excellent coding skills in Python (preferred) or R
Experience working with, cleaning and manipulating multiple datasets, incomplete data, time series data
Experience building statistical models, preferably with financial datasets","Significant interest in finance, capital markets and financial products
In depth understanding of modelling complex credit products and/or a desire to learn about them&nbsp
Experience in data driven modelling and proficiency in embedding models in user tools with Excel as the front end
Experience coding in one or more of the following preferred: VBA, SQL, C++"
Senior Software Developer Analyst,COO & Functions,Technology,"Knowledge of R programming language or experience using alternative statistical programming languages like Python or SAS etc with essential minimum awareness of R
Familiarity with SQL or other database query language
Understanding of Business Analysis, Data mining, Academic research, or Machine Learning/AI data/Computational analysis
Experience with Git, Jira, Stash, and Confluence","Background and understanding of finance and risk management will be highly valuable (CFA. FRM and alike is a plus)
Experience in financial services is preferred but not essential
Experience of IT Software development process"
Platform Engineer,COO & Functions,Technology,"Experience in data platform engineering, preferably in financial sector
Understanding of Hadoop core concepts, AWS CloudFormation and Kubernetes.&nbsp
Core programming languages: Java / Scala or Python
Understanding of systems and applications associated with Cloud and containerization environments such as UNIX, Windows, Storage, Middleware, Security, or Systems Management","Demonstrable experience of DevOps tooling such as Jenkins, Bitbucket/Git, Nexus, and working knowledge of CI / CD toolchains
Infrastructure automation skills (Chef)
Exposure to one or more additional technologies in the platform namely DB2, MongoDB, MariaDB Ab Initio, Informatica, Teradata or SAS
able to work with teams to ensure the right deliverables are created, communicated and managed"
Data Scientist - Compliance Data Strategy & Innovation,COO & Functions,Compliance,"Relevant professional qualification(s) or Postgraduate Degree
Experience in data sourcing to understand available data sets, define regular data extracts to facilitate manipulation/analysis within the appropriate tooling
Understanding of computer languages (e.g. Python, R, SAS or similar) for data analysis
Experience to oversee, drive and track project deliverables from initiation through to completion, including accountability for escalation of risks to stakeholders&nbsp","Ability to work in a regulatory oversight role (e.g. compliance, risk, controls, audit) in the retail or investment banking sector with a focus on consumer and client conduct risk
Experience in data-driven storytelling - proven ability to explain data analysis, insights and capabilities to audiences with differing technical backgrounds
Understanding of critical regulation and guidance covering conduct risk in the context of personal data and technologies (e.g. GDPR (EU), Regulation B (US), CONC (UK), etc)
Ability to provide great people leadership, performance management and talent development"
Head of Payroll for Europe,COO & Functions,HR,"Experience in leading EME Payroll teams in large and complex organisations, preferably within a financial services organisation
Good understanding of more complex payrolls such as France, Italy and Spain, including deferred compensation approaches, country-to-country movers, and business travel-related taxation
Solid knowledge of payroll legislation, financial and regulatory controls, governance, risk management, HR policy and internal audit requirements
Proven experience of leading, implementing and driving continuous improvements, including working with Payroll suppliers</span>","Recognised Payroll professional qualifications (e.g. CIPP in the UK, or equivalent) would be ideal but not essential
Experience with tools and technology related to Payroll and HR
Advanced MS Excel skills to perform complex analysis and reporting using VLookup and Pivot tables
Agile project management</span>"
Head of Run Operations,COO & Functions,Technology,"Experience working in a similar Lead / Head of Technology Infrastructure Run and Operations role (or similar) at an Enterprise level in a regulated environment
Knowledge of Run and Operations and enterprise build experience on a global scale, accountable for large scale complex engineering standards across various products
Experience in Programme Management managing senior stakeholders, external vendors and other internal team resources
Experience in setting and implementing Run and Operations strategy along with managing a small team and Tech budget at an Enterprise level to ensure systems run smoothly&nbsp","Experience in a Technology Infrastructure Run and Operations and / or Programme Management role at an Enterprise level on Headend systems
Experience working across multiple time zones, dealing with vendors and managing a team of engineers in different regions on engineering and build projects
Knowledge of Physical Security infrastructure and experience with technical multiple Project and BAU implementations at an Enterprise level&nbsp
Knowledge of other Physical Security products / service offerings including server builds of Cloud environments and IOT device deployments"
Controls & Regulatory Engagement Lead,COO & Functions,Technology,"project/ portfolio management, operations or strategy experience&nbsp
Transformative program delivery experience in a multi-function/ business space in a matrixed environment
Understanding of both the regulatory frameworks and the products and services offered by large, complex financial institutions like Barclays as well as Global regulated entities
financial services experience preferably within technology environments and with management of Audit/ risk/ governance/ compliance","Extensive experience working on technology, operations and regulatory integration projects with knowledge and adherence to programme and change management
Ability to work with at Senior Manger levels, with solid stakeholder management and influencing skills
Ability to manage complex, evolving parameters under time pressure and identify potential solutions by exploring and analysing diverse alternatives.
Consistently demonstrates integrity, fairness and professional conduct with excellent communication and influencing skills and ability to align the organization."
Solution Architect,COO & Functions,Technology,"Significant years of solid technical working experience in software engineering and design roles
Significant and solid full stack software development experience, with multiple programming languages, including Java
Significant and demonstrable experience in leading detailed design and implementation of scalable&nbsp
Significant experience integrating disparate systems and designing effective APIs with most appropriate technologies&nbsp","Excellent knowledge and extensive experience in modern software design and engineering, having solved complex, analytical and technical problems
Ability to lead solutions in depth at all levels including architecture, interface specification, code structure, network protocols, operations and troubleshooting&nbsp
Excellent analytical skills and proven ability to simplify and clearly communicate complex analytical outcomes, linkages and messages to both technical and non-technical audiences&nbsp
Knowledge of domain-driven design principles and practices"
Credit Manager,COO & Functions,Risk and Quantitative Analytics,"Good Intellect balanced by practical and pragmatic approach
Excellent analytical and numerate skills
Communication skills
Negotiation and influencing skills","Credit Assessment, Structuring and Sanctioning skills
Broad understanding of Business and Corporate Banking
Completed Credit Skills Development (CSD) qualification (Advanced) or LiBF Diploma in Business Banking and Conduct"
Risk and Control AVP,COO & Functions,Technology,"Excellent communication and relationship skills and stakeholder management&nbsp
Proven ability to influence and manage across multiple teams and regions to deliver solutions to complex problems
Driven to apply order and process, yet flexible to adapt as needed for continuous improvement
Significant experience in using communication, process, and transparency to balance regulatory and control partner demands with competing business and technical priorities","Naturally curious and attracted to complicated problems
Must be highly organized, structured and result driven&nbsp
Ability to turn ideas into proof of concepts and then into reality"
Business Analyst,COO & Functions,Technology,"Demonstrable experience of business analysis, project management or business change role&nbsp
Exposure to Product Owner, project manager and / or Scrum Master roles and responsibilities
Ideally will have experience in banking applications and infrastructure
Solid evidence of stakeholder management at all level
</span>
</strong></span>
Able to demonstrate evidence of drive, energy, commitment, and enthusiasm.
Technical knowledge will be a benefit to assist with data analysis.","Able to demonstrate evidence of drive, energy, commitment, and enthusiasm.
Technical knowledge will be a benefit to assist with data analysis."
Java Developer,COO & Functions,Technology,"Good Java and development skills, including Spring, SQL and Unix
Experience of building enterprise scale applications
Degree in Computer Science or related field
Solid analytical skills, methodical approach with good attention to detail","Experience in working with Kafka
Experience working in an investment bank background
Working knowledge of agile and Scrum, DevOps and exposure to cloud technologies will be an added advantage
Solid inter-personal skills with ability to communicate thoughts, designs, and implementations in both written and verbal form"
Repo (Java) Developer,COO & Functions,Technology,"Oracle, Sql Server
Experience with Testing Frameworks: Mocha/Karma/Jasmine/Protractor, Rhino Mocks/NUnit, Source control:GIT
Messaging Technologies: Any of these - Solace, Tibco RV, JMS
Keen technologist with extensive experience in technical design and architecture of highly distributed applications and ability to pick up new technologies","Major ECN Protocols: FIX, OMNet, IConnect&nbsp
Angular 4+, HTML5, CSS, JavaScript, Shell scripting, Linux, Git, Perforce
Hands on experience working with Java&nbsp"
Application Support Analyst,COO & Functions,Technology,"Self-starter, hands on and motivated, with ability to operate independently
Work collaboratively with Run the Bank and Build the Bank teams
Pragmatic and common-sense driven execution
Commercial awareness and understanding","Exposure to Banking Domain
Exposure to Customer Relationship Management
Working knowledge of Salesforce/ MS Dynamics knowledge
ITIL certification"
Linux Desktop Engineer,COO & Functions,Technology,"Hands-on technical knowledge of the Linux Operating System (preferably RHEL)
Practical experience with Automation, Configuration, or Security tools (i.e. Ansible, Powerbroker, Chef, Jenkins, etc)
Development experience with Python and/or scripting languages
Excellent verbal and written communication skills to be able to work in a globally distributed team of both colleagues and business stakeholders","Knowledge of enterprise networking, VMWare and Citrix
Good problem solving and analytical skills and able to transfer skills and knowledge to other team members"
PS Technology Support Analyst,COO & Functions,Technology,"Experience of implementing or managing technical management processes and tools
Ability to understand, mitigate or reduce risks, drawing on expert advice, risk assessment, and management reports
Experience in leading and managing stakeholders through project deliveries&nbsp
Knowledge of Physical Security Technology (Networking, CCTV, IDS, Access Control systems) with exposure to industry standards such as NIST","s, release, development and process documentation
s reputation and standing
Ability to address new situations and efficiently handle any incidents which may arise
Experience in working within a Technology Security field, including systems audit, internal controls and/or security consulting"
Linux Desktop Engineering Lead,COO & Functions,Technology,"Technical knowledge of the Linux Operating System&nbsp
Previous Hands-on experience of delivering operating systems into a large enterprise
Experience with Automation, Configuration, or Security tools (i.e. Ansible, Powerbroker, Chef, Jenkins, etc)
Excellent verbal and written communication skills to be able to work in a globally distributed team of both colleagues and business stakeholders","Good knowledge of Service delivery management into an Enterprise
team player and able to mentor junior members of the team
Experience of supporting Retail and Investment Banking"
Messaging Engineer,COO & Functions,Technology,"UNIX and Linux familiarity with some Shell scripting skills and basic administrative skills
Knowledge of automation technologies i.e., CHEF
Good understanding of a range of infrastructure principles and offerings i.e., Cloud
Proven experience in working within a technology environment","Knowledge/Administration skills for MQ, Kafka and AMQ
Experience in any development language
Knowledge of IIB/ACE development, Toolkit, ESQL Coding
Any cloud or container-based qualifications or experience, or has shown a real passion for the technology"
Project Manager,COO & Functions,Technology,"Prior Business and Technology Product and Project Management experience, working with Data Suppliers, both during selection/ procurement and in delivery
Experience in Cost reduction initiatives within Finance and managing Cost allocations Managing large Data programmes and complex Business and/or Technology Projects
Exceptional stakeholder, interpersonal, communication, presentation skills Liaising with Executive committees and senior stakeholders and ability to influence decision-making&nbsp
Excellent leadership skills with evidence of managing teams across a range of disciplines and locations with solid analytical/ problem solving mind set, and willingness to find solutions","Project Management accreditation
Passion for data and keen eye to details
Solid planning skills, and experience of creating and managing complex project that include testing, training and execution
</span>
'><strong>Where will you be working?</strong></span>
'>You will be based in Radbroke, Knutsford. The Barclays Technology Campus just outside Manchester is our tech command centre and a vital strategic powerhouse behind our global operations. The campus is set in a 64 acre self-contained site, in a beautiful green environment and it offers unrivalled facilities for work and for play. We have an onsite gym, as well as outdoor tennis, football and cricket areas, as well as onsite restaurant and coffee shops."
Implementation Support Manager,COO & Functions,Operations,"Experience with interacting with clients and stakeholders across all levels
Exposure to managing and delivering expectations, and challenge out comes and approaches where necessary
Good interpersonal, influencing and organising skills
Ability to build quality relationships in a non-face to face environment","Ability to work under pressure and adapt to change quickly&nbsp
Good Self-motivation and a desire to learn and progress
Ability to be confident but approachable&nbsp
Able to be Proactive and focused towards optimising the business"
Client Service - Specialist Support Advisor,COO & Functions,Operations,"Previous experience in excellent customer service skills
Great communication skills where you will liaise and support our clients, colleagues and key stakeholders
Ability to adapt to change including being able to proactive focus towards request resolution efficiency, quickly and accurately
You are familiar and comfortable with basic computer skills","An understanding of day to day client servicing requests
An awareness of the Data Protection Act, and a good understanding of Operational Rigor
Accountable for self-development
values, ensuring a positive working environment is maintained"
Automation Engineer,COO & Functions,Technology,"Solid experience in Functional Testing with Automation in Java/Selenium
Experience in Mobile testing for IOS and Android
Exposure to API testing and Automation
Extensive knowledge of Testing lifecycle and core testing process/techniques using different test approaches","Solid knowledge of Mobile Automation using Appium
Good knowledge of CI /CD and DevOps methodologies
Exposure to Payments Engine like GPP and Masspay
Exposure and knowledge of Payments landscape and all middleware applications"
Senior Data Scientist,Barclays UK,Analytics,"Proficiency in Python developing statistical and machine learning models
Experience delivering complex data science projects in a business context
Energy and enthusiasm to inspire followership and to work effectively in a low ego environment
Clear passion for making financial services more customer-centric by using data science ethically&nbsp","Prior people management experience, with tried and true approaches for mentoring junior staff
Understanding of the financial sector, to recognise and drive forward opportunities where data science can transform the bank
Skilled at influencing and communicating to various stakeholders up to executive level
Specialism in one or more of the following: reinforcement learning, deep learning, natural language processing, agent-based modelling, image recognition &nbsp"
Transaction Monitoring Risk Manager - Financial Crime,Barclays UK,Business Management,"Proven experience of influencing Stakeholders including briefings and presentations
Solid analytical skills with ability to interpret data, MI and business obstacles and make recommendations
Ability to work alone or collaboratively
Experience of change management / process re-engineering e.g. LEAN / DMAIC / Value Mapping</span>","Previous experience of working within a regulatory and control environment
Experience of and / or qualified in formal Project / Change Management, e.g. Prince 2 / PMI
Excellent communication and interpersonal skills
Experienced in dealing with multiple stakeholders in different business functions who have different targets e.g. Internal Audit, Risk, Compliance, Fraud, Legal</span>"
Credit Operations Specialist,COO & Functions,Operations,"experience in a similar role / environment
Verbal and written communications skills&nbsp
Extremely customer-focused with a positive and professional attitude
Organization and work prioritization skills&nbsp","College level education&nbsp
Computer literate proficient PC skills&nbsp
Knowledge of Microsoft Office, including Word, Excel and PowerPoint"
Customer Service Representative,COO & Functions,Operations,"experience in a customer service or call center role
Verbal and written communications skills
Determined and customer-focused with a positive and professional attitude","Attention to detail, an understanding of the importance of accuracy and responsiveness
Proficient with internet skills with excellent organization and work prioritization skills
Knowledge in Banking or credit card experience&nbsp"
IntSec54 - Oracle Developer,COO & Functions,Technology,"knowledge of best practices and recent developments of Oracle database technologies
Intermediate level Linux/Unix shell scripting
Intermediate level C and Pro*C programming skills
Intermediate level database profiling and performance tuning skills and experience","Working knowledge of Autosys
Knowledge of SFTP protocol and security key management concepts
Extensive knowledge of messaging/middleware technologies (Solace, MQ)
Basic knowledge of Oracle Forms/Report"
Technology Analyst,COO & Functions,Technology,"Five+ years of Business Analysis / Data analytics for Investment Banking Capital Markets Domain&nbsp
Experience or knowledge of front to back trade life cycle
Previous experience or knowledge of Repo Trading Markets
Solid Project Management experience and ability to navigate through complex world","Problem solving skills to review operational data issues and provide a solution by defining a data strategy
Expertise in ability to build SQL queries
Experience in Electronic Trading application"
Reference Data - Technical Analyst,COO & Functions,Technology,"Proven Investment Banking and Client Reference Data knowledge in Trade Settlements and Settlement instruction and knowledge of client data and processes KYC (know-your-client)
Hands-on business and functional analysis skills and ability to translate business requirements into functional requirements for technical usage
Exceptional verbal and written communication skills
Proven ability to collaborate in a global team environment in UK, US and APAC","Intermediate and Visio - Advanced
Intermediate, .Net XMLand MS Access
Advanced
Confluence and Sharepoint"
Investment Operations Analyst,COO & Functions,Finance,"control processes and practices
Resilient individual who thrives in a fast paced, changing environment&nbsp
Ability to demonstrate that you can work effectively within a team
Excellent interpersonal skills and an ability to effectively communicate with stakeholders and colleagues internally and externally","Investment Operations or industry experience&nbsp
Experience of reviewing and improving processes to enhance client experience&nbsp"
Magics Developer,COO & Functions,Technology,"Previous experience working with core Java, Java Spring Boot/ Hibernate
Past experience in SQL server
Previous experience in messaging technology (MQ, Solace)
Experience in Source Control (GIT)","Past experience with Angular / Web Development
Experience / understanding of the Unix / Linux operating system + shell scripting
batch scripting
Experience with Autosys job scheduling, Maven and NPM"
Solution Architect Designer,COO & Functions,Technology,"Exposure to wide variety of technologies (e.g. API, AWS, Java, Adaptive, Responsive design)
Extensive Technical data knowledge
Experience with IT Architecture - Familiar with integration and implementation issues&nbsp
</span>","Solution architect/enterprise architect training and certification e.g. TOGAF, BCS
Ability to influence and communicate effectively with senior stakeholders&nbsp"
Automation Engineer,COO & Functions,Technology,"re looking for:</strong></span>
Chef
Solid experience of Release, Deployment and Change Management process (ITIL)
Exposure to UNIX/Linux/Windows systems
Exposure to automation scripting with Bash, PowerShell or something more interesting","Solid experience of Application or Technical Support including version control repositories
Solid Knowledge of Cloud services like AWS and / or Azure
Exposure to Code quality tools (SonarQube, Coveralls, etc)
Exposure to Web-related protocols (HTTP, SSL, DNS) and load balancing"
Application Support Lead,COO & Functions,Technology,"Practical experience in supporting and maintaining production environments with distributed systems and highly available services
Working knowledge of IT Infrastructure components (for example Linux or Windows Server OS, MS SQL or Oracle Databases, Networks, Load Balancers, Storage)
Practical experience in Observability/Monitoring solutions (for example AppDynamics, Thousand Eyes Splunk, ELK)
Understanding of CI/CD Pipelines and Repositories, for example Jenkins and GitHub","Experience of working in either a SRE or DevOps model would be desirable
Ability to work in large, collaborative teams to achieve organizational goals
Ability to construct SQL queries and interrogate databases
Understanding of software skills such as design, development, maintenance, testing and software improvement"
